airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,address,phone,email,website
AJU,AJU,Santa Maria Airport,"","",جادة سينادور جوليوس سيزار لي، سانتا تيريزا - أراكاجو - إس.إي، 49037580، البرازيل,(+55) (0)79 32128500,luizbittencourt@infraero.gov.br
AJY,"","","","","","",""
AKB,OTD,Atka Airport,"","",,,
AKF,AKF,Kufra Airport,"","",,,
AKI,"","","","","","",""
AKJ,AKJ,Asahikawa Airport,"","",,,
AKK,"","","","","","",""
AKL,AKL,Auckland Airport,"","",- أوكلاند، أوكلاند 2022، نيوزيلندا,(+64) 9-275 0789,NA
AKN,AKN,King Salmon Airport,"","",1طريق مطار كينغ سالمون، كينغ سالمون، ألاسكا 99613، الولايات المتحدة الأمريكية,(+1) 907-246-3325,NA
AKP,"","","","","","",""
AKU,AKU,Aksu Airport,"","",,,
AKV,AKV,Akulivik Airport,"","",,,
AKX,AKX,Aktobe Airport,"","",,,
AKY,AKY,Sittwe Airport,"","",,,
ALA,ALA,Almaty International Airport,"","","""2",(+7) 729 260 9755,info@alaport.com
ALB,ALB,Albany International Airport,"","",طريق مطار ألباني الدولي 737 ألباني، طريق شيكر ألباني، نيويورك 12211,(+1) 518-242-2200,Info@albanyairport.com
ALC,ALC,Alicante Airport,"","",03195 إل ألتيت، اليكانتي، أليكانتي، أسبانيا,(+34) 913 21 10 00,alcinfo@aena.es
ALF,ALF,Alta Airport,"","",,,
ALG,ALG,Houari Boumediene Airport,"","",دار البيضاء، الجزائر، الجزائر,(+213) 21 50 91 91,hlamyl@hotmail.com
ALH,ALH,Albany Airport,"","",,,
ALO,ALO,Waterloo Regional Airport,"","",2790 خط ليفينغستون، واترلو، أيوا 50703، الولايات المتحدة الأمريكية,(+1) 319-291-4483,scombs@flyalo.com
ALS,ALS,San Luis Valley Regional Airport,"","",2500 جادة ستيت، ألاموسا، كولورادو 81101، الولايات المتحدة الأمريكية,(+1) 719-589-9446,NA
ALW,ALW,Walla Walla Regional Airport,"","",310 سانت أ، والا والا، واشنطن 99362، الولايات المتحدة الأمريكية,(+1) 509-525-3100,NA
ALZ,RBV,Alitak Seaplane Base,"","",,,
AMA,AMA,Rick Husband Amarillo International Airport,"","",10801 أماريلو جادة المطار، تكساس 79111 الولايات المتحدة الأمريكية,(+1) 806-335-1671,airportinfo@amarillo.gov
AMD,AMD,Sardar Vallabhbhai Patel International Airport,"","",مدير المطار، هيئة مطارات الهند، - ساردار فالابهبهاي باتيل الدولي، أحمدأباد 380003، غوجرات,91-79-2286 9211,apdahm@aai.aero
AMH,AMH,Arba Minch Airport,"","",,,
AMM,AMM,Queen Alia International Airport,"","",عمان، الأردن,(+962) 6 445 1739,NA
AMQ,"","","","","","",""
AMS,AMS,Amsterdam Airport Schiphol,"","",إيفرت فان دي بيكسترات 202، 1118 CP شيفول، هولندا,(+31) 900 0141,NA
ANC,ANC,Ted Stevens Anchorage International Airport,"","",الطريق الدولي 5000 المطار الدولي ، أنكوراج، ألاسكا 99502، الولايات المتحدة الأمريكية,(+1) 907-266-2526,NA
ANE,ANE,Angers-loire Airport,"","",,,
ANF,ANF,Cerro Moreno International Airport,"","",توكوبيلا، منطقة انتوفاجاستا، تشيلي,(+56) (0)55 269077,NA
ANI,ANI,Aniak Airport,"","",آنياك، ألاسكا 99557، الولايات المتحدة الأمريكية,(+1 907)-266-0151,NA
ANR,ANR,Antwerp International Airport,"","",لوختهافنلاي، 2100 أنتويرب، بلجيكا,(+323) 285 65 00,antwerpairport@vlaanderen.be
ANS,ANS,Andahuaylas Airport,"","",,,
ANU,ANU,V C Bird International Airport,"","",كوليدج سانت جورج، أنتيغوا، جزر الهند الغربية ,(+1 268) 462 3082,NA
ANV,ANV,Anvik Airport,"","",,,
ANX,ANX,Andya Airport,"","",,,
AOE,"","","","","","",""
AOG,YIN,Anshan Air Base,"","",,,
AOI,AOI,Ancona - Falconara Airport,"","",,,
AOJ,AOJ,Aomori Airport,"","",,,
AOK,AOK,Karpathos Island National Airport,"","",كارباثوس 85700، اليونان ,NA,NA
AOO,AOO,Altoona-blair County Airport,"","",310 طريق إيربورت إنترنس #6، مارتنزبيرغ، بنسيلفانيا 16662، الولايات المتحدة الأمريكية,(+1) 814-793-2027,NA
AOQ,"","","","","","",""
AOR,AOR,Sultan Abdul Halim Airport,"","",,,
AOS,RBV,Amook Bay Seaplane Base,"","",,,
AOU,"","","","","","",""
APF,APF,Naples Municipal Airport,"","",160 طريق الطيران إن، نابولي، فلوريدا 34104، الولايات المتحدة الأمريكية,(+1) 239-643-0733,NA
APK,APK,Apataki Airport,"","",,,
APL,APL,Nampula Airport,"","",أفينيدا دو ترابالو أ، 418، نامبولا، موزمبيق,(+258) 26 213 100,NA
APN,APN,Alpena County Regional Airport,"","",المطار الإقليمي لمقاطعة ألبينا 1617 طريق المطار ألبينا ميشيغان49707,( +1) 989-354-2907,BilliMcRoberts@alpenacounty.org
APO,IPI,Antonio Roldan Betancourt Airport,"","",,,
APW,APW,Faleolo International Airport,"","",طريق الساحل الغربي الرئيسي، فاليولو، ساموا,NA,NA
AQG,AQG,Anqing Airport,"","",,,
AQI,AQI,Hafr Al Batin Airport,"","",,,
AQJ,AQJ,Aqaba King Hussein International Airport,"","",,,
AQP,AQP,Rodrguez Balln International Airport,"","",أريكويبا، بيرو ,NA,NA
ARC,"","","","","","",""
ARD,"","","","","","",""
ARH,ARH,Talagi Airport,"","",,,
ARI,ARI,Chacalluta International Airport,"","",تشيلي ,NA,NA
ARK,ARK,Arusha Airport,"","",,,
ARM,ARM,Armidale Airport,"","",,,
ARN,STO,Stockholm Arlanda Airport,"","",19045 ستوكهولم-إرلندا، السويد,(+46)(0)10–109 10 00,info@arlandaairport.se
ART,ART,Watertown International Airport,"","",22529 طريق ولاية نيويورك 12 إف، دكستر، نيويورك 13634، الولايات المتحدة الأمريكية,(+1) 315-786-6000,NA
ARU,"","","","","","",""
ASB,ASB,Ashgabat Airport,"","",,,
ASE,ASE,Aspen-pitkin County Airport,"","",0233 إي طريق المطار جناح ا آسبن ، كولورادو 81611,(+1) 970-920-5384,NA
ASF,ASF,Astrakhan Airport,"","",,,
ASJ,ASJ,Amami Airport,"","",,,
ASM,ASM,Asmara International Airport,"","",شارع هداي، أسمره، إريتريا,NA,NA
ASO,ASO,Asosa Airport,"","",,,
ASP,ASP,Alice Springs Airport,"","",طريق سانتا تيريزا، أليس سبرنجز المقاطعة الشمالية 0870، أستراليا,(+61) 8 8951 1211,information.asp@ntairports.com.au
ASR,ASR,Kayseri Erkilet Airport,"","",,,
ASS,"","","","","","",""
ASU,ASU,Silvio Pettirossi International Airport,"","",AVDA. Mcal. لوبيز اي/فايز ب.دي.تي.اي سانشيز واي 22 دي سينتييمبا - 2 دي.و بيزو,(595-21) 203.615,presiden@dinac.gov.py
ASV,ASV,Amboseli Airport,"","",,,
ASW,ASW,Aswan International Airport,"","",,,
ATA,"","","","","","",""
ATC,ATC,Arthurs Town Airport,"","",,,
ATD,ATD,Uru Harbour Airport,"","",,,
ATH,ATH,Athens International Airport,"","",أتيكي أودوس، سباتا أرتيميدا 19004، اليونان,(+30) 21 0353 0000,NA
ATK,"","","","","","",""
ATL,ATL,Hartsfield-jackson Atlanta International Airport,"","",6000 ن تريمنال بكوي، أتلانتا، جورجيا 30320، الولايات المتحدة الأمريكية,(+1) 404-209-1700,NA
ATM,"","","","","","",""
ATQ,ATQ,Sri Guru Ram Dass Jee International Airport,"","",مدير المطار/ موظف الإعلام، هيئة المطارات الهندية، - سري غورو رام داس جي الدولي، أمريتسار-143101 (بنجاب),91-183-2214166,apdasr@aai.aero
ATT,"","","","","","",""
ATW,ATW,Outagamie County Regional Airport,"","",دبليو 6390 تشالنجر درايف، جناح 201 أبليتون، ويسكونسن 54914، الولايات المتحدة الأمريكية,(+1) 920-832-5268,NA
ATZ,ATZ,Assiut International Airport,"","",,,
AUA,AUA,Queen Beatrix International Airport,"","",أورنجيستاد، أرّوبا، منطقة البحر الكاريبي الهولندية,(+297)  524 24 24,NA
AUC,AUC,Santiago Perez Airport,"","",,,
AUG,AUG,Augusta State Airport,"","",75 طريق المطار، أوغوستا، ماين 04330، الولايات المتحدة الأمريكية,(+1) 207-626-2306,NA
AUH,AUH,Abu Dhabi International Airport,"","",طريق الشيخ مكتوم بن راشد - أبوظبي - الإمارات العربية المتحدة,(+971) (0)2 505 5555,NA
AUK,ATK,Alakanuk Airport,"","",,,
AUQ,AUQ,Hiva Oa-atuona Airport,"","",,,
AUR,AUR,Aurillac Airport,"","",,,
AUS,AUS,Austin-bergstrom International Airport,"","",3600 جادة بريزدينشل، أوستن، تكساس 78719، الولايات المتحدة الأمريكية,(+1) 512-530-2242,NA
AUX,VLV,Aragua-na Airport,"","",,,
AUY,AUY,Aneityum Airport,"","",,,
AVA,HSN,Anshun Huangguoshu Airport,"","",,,
AVL,AVL,Asheville Regional Airport,"","",طريق مطار أشفيل الإقليمي مبنى الإدارة 61، القطاع فليتشر 1، نورث كارولاينا 28732,(+1) 828-684-2227,pr@flyavl.com
AVN,AVN,Avignon-caumont Airport,"","",,,
AVP,AVP,Wilkes-barre-scranton International Airport,"","",100 طريق المحطة، أفوكا، بنسلفانيا 18641، الولايات المتحدة الأمريكية,(+1) 877-235-9287,NA
AVV,MEL,Avalon Airport,"","",80 طريق بيتش، لارا فيكتوريا 3212، أستراليا,(+61) 3 5227 9100,enquiries@avalonairport.com.au
AWA,"","","","","","",""
AWD,AWD,Aniwa Airport,"","",,,
AWZ,AWZ,Ahwaz Airport,"","",,,
AXA,AXA,Clayton J Lloyd International Airport,"","",الوادي، أنغويلا ,(+1 264) 497-3510,NA
AXD,AXD,Dimokritos Airport,"","",,,
AXF,"","","","","","",""
AXM,AXM,El Edn International Airport,"","",لا تيبايدا، كوينديو، كولومبيا,(+57) 6 7479400,NA
AXP,AXP,Spring Point Airport,"","",,,
AXR,AXR,Arutua Airport,"","",,,
AXT,AXT,Akita Airport,"","",,,
AXU,AXU,Axum Airport,"","",,,
AYM,"","","","","","",""
AYP,AYP,Coronel Fap Alfredo Mendivil Duarte Airport,"","",,,
AYQ,AYQ,Ayers Rock Connellan Airport,"","",,,
AYT,AYT,Antalya Airport,"","",أنطاليا إنترناشيونال تريمنال، 07110 أنطاليا، تركيا,(+90) 543 402 1547,info@icfairports.com
AZD,AZD,Shahid Sadooghi Airport,"","",,,
AZN,AZN,Andizhan Airport,"","",,,
AZO,AZO,Kalamazoo-battle Creek International Airport,"","",5235 طريق بورتاج، كالامازو، ميشيغان 49002، الولايات المتحدة الأمريكية,(+1) 269-388-3668,NA
AZR,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,"","",,,
AZS,AZS,Saman El Catey International Airport,"","",,,
BAD,"","","","","","",""
BAH,BAH,Bahrain International Airport,"","",المحرق، البحرين,NA,NA
BAL,"","","","","","",""
BAQ,BAQ,Ernesto Cortissoz International Airport,"","",لا بورتا دور أودا كولومبيا، أتلانتكو، كولومبيا,NA,NA
BAS,BAS,Ballalae Airport,"","",,,
BAV,BAV,Baotou Airport,"","",,,
BAX,BAX,Barnaul Airport,"","",,,
BBA,BBA,Balmaceda Airport,"","",منطقة آيسن، شيلي,NA,NA
BBI,BBI,Biju Patnaik Airport,"","",مدير المطار، هيئة المطارات الهندية، - بيجو باتنيك، بوبانيسوار-751020 (أوديشا),"91-674-2596302, 2596317",apdbbsr@aai.aero
BBK,BBK,Kasane Airport,"","",الطريق العليا، كاسان، بوتسوانا,(+267) 368 8200,NA
BBN,BBN,Bario Airport,"","",,,
BBO,"","","","","","",""
BCA,"","","","","","",""
BCD,BCD,Bacolod-silay City International Airport,"","",,,
BCI,BCI,Barcaldine Airport,"","",,,
BCM,BCM,Bacu Airport,"","",,,
BCN,BCN,Barcelona-el Prat Airport,"","",مطار برشلونة، 08820 برات دي يوبريغات. برشلونة ,(+34) 91 321 10 00,info@girona-airport.net
BDL,BDL,Bradley International Airport,"","",,,
BCV,"","","","","","",""
BDA,BDA,Lf Wade International Airport,"","",عمليات مغادرة المطار، إل. إف. مطار ويد الدولي، 3 طريق كاهو، سانت جورج GE CX، برمودا.,(+1441) 293-2542,dao@gov.bm
BDB,BDB,Bundaberg Airport,"","",,,
BDH,BDH,Bandar Lengeh Airport,"","",,,
BDJ,BDJ,Syamsudin Noor Airport,"","",,,
BDO,BDO,Husein Sastranegara International Airport,"","",,,
BDP,BWA,Bhadrapur Airport,"","",,,
BDQ,BDQ,Vadodara Airport,"","",مدير المطار، المطار المدني، فادودارا-390022 (غوجرات),91-265-2485356,apdvadodara@aai.aero
BDS,BDS,Brindisi - Casale Airport,"","",,,
BDU,BDU,Bardufoss Airport,"","",,,
BEB,BEB,Benbecula Airport,"","",,,
BEG,BEG,Belgrade Nikola Tesla Airport,"","",226، بلغراد، صربيا,(+38) 111 2094000,NA
BEJ,BEJ,Baraukalimaru Airport,"","",,,
BEL,BEL,Val De Ces International Airport,"","",جادة يوليوس قيصر، إس / إن، فال دو كانز، بيليم - بارا، 66115970، البرازيل,(+55) 91 3210-6000,NA
BEM,BGF,Bossembclc Airport,"","",,,
BEN,BEN,Benina International Airport,"","",,,
BES,BES,Brest Bretagne Airport,"","",إيربورت بريست برتينيا، غيبافاس 29490، فرنسا,"(+33) (0)2 98 32 86 00, 33 (0)2 98 32 86 03",info@brest.aeroport.fr
BET,BET,Bethel Airport,"","",الطريق السريع 3517 شيف إيدي هوفمان، ألاسكا 99559، الولايات المتحدة الأمريكية,(+1) 907-543-2495,"donald.fancher@alaska.gov, bethelairportplan@dowlhkm.com"
BEU,"","","","","","",""
BEW,BEW,Beira Airport,"","",,,
BEY,BEY,Beirut-rafic Hariri International Airport,"","",خلدة، بيروت، لبنان,(+7) (727) 270-33-85,NA
BFC,"","","","","","",""
BFD,BFD,Bradford Regional Airport,"","",212 طريق المطار، لويس ران، بنسلفانيا 16738، الولايات المتحدة الأمريكية,(+1) 814-368-5928,"tom@bradfordairport.net, alicia@bradfordairport.net, fueloffice@bradfordairport.net"
BFF,BFF,Western Nebraska Regional Airport,"","",250023 طريق المطار #10، سكوتسبلوف، نيبراسكا 69361، الولايات المتحدة الأمريكية,(+1) 308-635-4941,wnra@flyscottsbluff.com
BFI,SEA,King County International Airport,"","",7277 طريق بيرميتر إس، سياتل، واشنطن 98108، الولايات المتحدة الأمريكية,(+1) 206-296-7380,NA
BFJ,ICI,Ba Airport,"","",,,
BFL,BFL,Meadows Field Airport,"","",3701 وينغز واي، بيكرسفيلد، كاليفورنيا 93308، الولايات المتحدة الأمريكية,(+1) 661-391-1800,webmaster@co.kern.ca.us
BFN,BFN,Bloemfontein Airport,"","",بلومفونتين، جنوب أفريقيا,(+27) (0)51 407 2240,customercare@airports.co.za
BFQ,"","","","","","",""
BFS,BFS,Belfast International Airport,"","",بلفاست بي.تي 29 4 ا.بي، المملكة المتحدة,(+44) 28 9448 4848,NA
BFV,BFV,Buri Ram Airport,"","",,,
BFX,"","","","","","",""
BGA,BGA,Palonegro International Airport,"","",غيرون، قسم سانتاندر، كولومبيا,NA,NA
BGF,BGF,Bangui Mpoko International Airport,"","",جادة دو فرانس، بانغي، جمهورية أفريقيا الوسطى,NA,NA
BGG,"","","","","","",""
BGI,BGI,Grantley Adams International Airport,"","",طريق المطار، باربادوس,(+1)246-418-4242,office@gaiainc.bb
BGM,BGM,Greater Binghamton Airport,"","",2534 طريق المطار، جونسون سيتي، نيويورك 13790، الولايات المتحدة الأمريكية,(+1) 607-763-4471,aviation@co.broome.ny.us
BGN,"","","","","","",""
BGO,BGO,Bergen Airport,"","",فليبلسفيغن 555، 5258 بيرغن، النرويج,(+47) 67 03 11 00,NA
BGR,BGR,Bangor International Airport,"","",287 جادة غودفري، بانجور، مين 04401، الولايات المتحدة الأمريكية,(+1) 866-359-2264,bgrops@flybangor.com
BGW,BGW,Baghdad International Airport,"","",,,
BGY,MIL,Il Caravaggio International Airport,"","",- فيا، 13، 24050 أوريو ألسريو بيرجمو، إيطاليا,(+39) 035 326323,NA
BHB,BHB,Hancock County-bar Harbor Airport,"","",115 طريق كاروسو، ترينتون، ماين 04605، الولايات المتحدة الأمريكية,(+1) 207-667-7329,info@bhbairport.com
BHD,BFS,George Best Belfast City Airport,"","",بلفاست، BT3 9JH، آيرلند الشمالية,(+44) 28 9093 9093,NA
BHE,BHE,Woodbourne Airport,"","",,,
BHH,BHH,Bisha Airport,"","",,,
BHI,BHI,Comandante Espora Airport,"","",باهيا بلانكا، الأرجنتين ,NA,NA
BHJ,BHJ,Bhuj Airport,"","",المطار قيد التشغيل، هيئة المطارات في الهند، القطاع المدني، - بهوج، بهوج - 370 001 (غوجرات),91-2832-244147,N/A
BHK,BHK,Bukhara Airport,"","",,,
BHM,BHM,Birmingham-shuttlesworth International Airport,"","",طريق مطار ميسير السريع 5900 ، برمنغهام، ألباما 35212، الولايات المتحدة الأمريكية,(+1) 205-595-0533,info@flybirmingham.com
BHO,BHO,Raja Bhoj International Airport,"","",مدير المطار، هيئة المطارات الهندية، - راجا بوج، مكتب بريد غاندي ناغار، غاندي ناغار، بوبال (ماديا براديش)- 462036,91-755-2646001,apdbhopal@aai.aero
BHQ,"","","","","","",""
BHR,KON,Bharatpur Airport,"","",,,
BHS,"","","","","","",""
BHV,BHV,Bahawalpur Airport,"","",,,
BHX,BHX,Birmingham Airport,"","",برمنغهام، B26 3QJ، المملكة المتحدة,(+44) 871 222 0072,NA
BHY,BHY,Beihai Airport,"","",,,
BIA,BIA,Bastia-poretta Airport,"","",,,
BIF,BHM,Biggs Army Air Field Fort Bliss,"","",,,
BIK,BIK,Frans Kaisiepo Airport,"","",,,
BIL,BIL,Billings Logan International Airport,"","",دوَار المحطة 1901، بيلينغز، مونتانا 59105، الولايات المتحدة الأمريكية,(+1) 406-657-8495,"binfordt@ci.billings.mt.us, neidhardtb@ci.billings.mt.us"
BIM,BIM,South Bimini Airport,"","",,,
BIN,WAG,Bamiyan Airport,"","",,,
BIO,BIO,Bilbao Airport,"","",- كاريتيرا، 48180 لوايو، فيزكايا، بسكاي، أسبانيا,(+34) 913 21 10 00,"webpublica@aena.es,  librosaena@aena.es"
BIQ,BIQ,Biarritz-anglet-bayonne Airport,"","",,,
BIR,BIR,Biratnagar Airport,"","",,,
BIS,BIS,Bismarck Municipal Airport,"","",يونفرستي دي.ار. 2301، بسمارك، نورث داكوتا 58502، الولايات المتحدة الأمريكية,(+1) 701-355-1800,NA
BJA,BJA,Soummam Airport,"","",,,
BJF,BJF,Btsfjord Airport,"","",,,
BJI,BJI,Bemidji Regional Airport,"","",3824 طريق موبيرج، إن. دبليو، بيميدجي، نيو مكسيكو 56601، الولايات المتحدة الأمريكية,(+1) 218-444-2438,Harold.vanleeuwen@bemidjiairport.org
BJL,BJL,Banjul International Airport,"","",يوندوم، غامبيا,NA,NA
BJM,BJM,Bujumbura International Airport,"","",ار.ن.5، بوجمبورا، بوروندي,(+257) (0)2 23797,NA
BJR,BJR,Bahir Dar Airport,"","",,,
BJT,"","","","","","",""
BJV,BJV,Milas Bodrum International Airport,"","",,,
BJW,"","","","","","",""
BJX,BJX,Del Bajo International Airport,"","",كار. سيلاو-ليون كم. 5.5 نويفو مكسيكو، 36270 سيلاو، غواناخواتو، المكسيك,(+52) 472 748 2120,NA
BJZ,BJZ,Badajoz Airport,"","",,,
BKC,BET,Buckland Airport,"","",,,
BKG,WWK,Branson Airport,"","",,,
BKI,BKI,Kota Kinabalu International Airport,"","",جالان لبينغن تيربينغ (لاما)، كوتا كينابالو 88200، صباح، ماليزيا,NA,NA
BKK,BKK,Suvarnabhumi Airport,"","",999 بانغ نا ترات، راتشا تايفا، بانغ فلي، ساموت براكان، 10540، تايلاند,(+66) 2 132 1888,NA
BKL,"","","","","","",""
BKM,BKM,Bakalalan Airport,"","",,,
BKN,"","","","","","",""
